NoCommande;PrioriteCommande;IdClient;Produit;PrixUnitaire;MargeProduitBrut;Discount;FraisExpedition;ModeExpedition;SegmentClient;DateCommande;DateExpedition;Marge;QuantiteVentes;MontantVentes
87397;Moyen;2913;P00099;6,48;0,37;0,01;8,4;Voie aérienne;Home Office;07/01/2011 00:00;08/01/2011 00:00;-114,762;5;35,04
86679;Non précisé;2236;P00099;6,48;0,37;0,08;8,4;Voie aérienne;Particulier;13/02/2011 00:00;15/02/2011 00:00;-165,48;9;57,96
89971;Urgent;2223;P00099;6,48;0,37;0,06;8,4;Voie aérienne;TPE;07/04/2011 00:00;10/04/2011 00:00;-64,95;3;20,4
89328;Non précisé;522;P00100;6,48;0,37;0,05;7,86;Voie aérienne;TPE;31/08/2011 00:00;02/09/2011 00:00;-78,9984;18;122,1
90177;Urgent;2635;P00100;6,48;0,37;0;7,86;Voie aérienne;Entreprise;24/02/2011 00:00;25/02/2011 00:00;1896,378;7;47,48
88512;Urgent;533;P00100;6,48;0,37;0;7,86;Voie aérienne;Entreprise;23/03/2011 00:00;24/03/2011 00:00;-101,85;7;48,76
90127;Non précisé;1660;P00101;6,48;0,37;0,08;7,03;Voie aérienne;TPE;24/02/2011 00:00;25/02/2011 00:00;-52,55;4;27,15
89385;Non précisé;2681;P00103;6,48;0,37;0;8,19;Voie aérienne;Entreprise;21/09/2011 00:00;23/09/2011 00:00;-151,93;19;136,76
58659;Urgent;3251;P00103;6,48;0,37;0,03;8,19;Voie aérienne;TPE;24/10/2011 00:00;26/10/2011 00:00;-15,756;4;42,02
87890;Critique;2098;P00103;6,48;0,37;0,02;8,19;Voie aérienne;Home Office;15/01/2011 00:00;15/01/2011 00:00;64,026;3;22,46
90655;Critique;1732;P00104;6,48;0,37;0,08;7,49;Voie aérienne;TPE;08/11/2011 00:00;10/11/2011 00:00;6,34;6;43,26
86318;Moyen;595;P00104;6,48;0,37;0,09;7,49;Voie aérienne Express;TPE;30/12/2011 00:00;14/01/2012 00:00;-47,395;12;79,37
90715;Moyen;2373;P00104;6,48;0,37;0,09;7,49;Voie aérienne;TPE;22/01/2011 00:00;23/01/2011 00:00;-87,1844;4;26,06
88002;Moyen;956;P00105;6,48;0,37;0,01;8,88;Voie aérienne;Particulier;15/09/2011 00:00;17/09/2011 00:00;-240,78;23;154,59
85871;Non précisé;1738;P00106;6,48;0,37;0,05;8,73;Voie aérienne;Entreprise;05/12/2011 00:00;07/12/2011 00:00;848,112;19;122,28
86065;Moyen;2656;P00133;6,48;0,37;0,02;5,87;Voie aérienne;Entreprise;21/03/2011 00:00;23/03/2011 00:00;-50,23032;10;67,48
738;Non précisé;607;P00107;6,48;0,37;0,08;5,14;Voie aérienne;Entreprise;01/03/2011 00:00;02/03/2011 00:00;-56,68;31;189,95
86437;Non précisé;608;P00107;6,48;0,37;0,08;5,14;Voie aérienne;Entreprise;01/03/2011 00:00;02/03/2011 00:00;-56,68;8;49,02
90827;Critique;177;P00107;6,48;0,37;0,08;5,14;Voie aérienne;TPE;09/03/2011 00:00;12/03/2011 00:00;-12,19;1;7,79
89875;Critique;2874;P00020;5,28;0,4;0,08;5,66;Voie aérienne Express;Home Office;24/06/2011 00:00;25/06/2011 00:00;-40,016;7;39,87
87120;Moyen;2034;P00109;19,98;0,38;0,01;5,77;Voie aérienne;Particulier;31/10/2011 00:00;02/11/2011 00:00;-265,062;22;472,62
89335;Moyen;2039;P00109;19,98;0,38;0,1;5,77;Voie aérienne;Entreprise;27/04/2011 00:00;29/04/2011 00:00;91,674;3;55,68
89065;Non précisé;1657;P00135;27,48;0,75;0,05;4;Voie aérienne Express;TPE;13/06/2011 00:00;14/06/2011 00:00;-61,888;4;111,46
86016;Peu urgent;451;P00136;19,98;0,68;0,09;4;Voie aérienne;Home Office;04/07/2011 00:00;11/07/2011 00:00;-65,67;2;40,87
26373;Moyen;198;P00137;40,98;0,57;0,08;5,33;Voie aérienne;TPE;22/07/2011 00:00;25/07/2011 00:00;2,3;8;325,81
89305;Peu urgent;2439;P00138;80,98;0,59;0;4,5;Voie aérienne;Particulier;23/07/2011 00:00;25/07/2011 00:00;157,45;3;252,66
89893;Critique;838;P00137;40,98;0,57;0;5,33;Voie aérienne;Particulier;08/08/2011 00:00;09/08/2011 00:00;546,2109;18;791,61
85845;Peu urgent;1799;P00135;27,48;0,75;0,08;4;Voie aérienne;Entreprise;26/08/2011 00:00;28/08/2011 00:00;-22,8592;10;274,78
87390;Urgent;299;P00139;10,89;0,59;0,05;4,5;Voie aérienne Express;Entreprise;10/09/2011 00:00;11/09/2011 00:00;-7,04;2;29,22
87119;Moyen;2032;P00140;48,58;0,56;0,06;3,99;Voie aérienne;Particulier;14/09/2011 00:00;16/09/2011 00:00;-250,348;21;960,75
87060;Peu urgent;305;P00140;48,58;0,56;0,02;3,99;Voie aérienne;TPE;19/09/2011 00:00;21/09/2011 00:00;299,35;10;492,18
21249;Peu urgent;308;P00140;48,58;0,56;0,02;3,99;Voie aérienne;TPE;19/09/2011 00:00;21/09/2011 00:00;299,35;40;1968,73
88954;Moyen;1311;P00140;48,58;0,56;0,04;3,99;Voie aérienne;Entreprise;24/09/2011 00:00;26/09/2011 00:00;138,46;7;328,32
5543;Moyen;1313;P00140;48,58;0,56;0,04;3,99;Voie aérienne;Entreprise;24/09/2011 00:00;26/09/2011 00:00;138,46;27;1266,37
89860;Urgent;1783;P00141;30,98;0,64;0;6,5;Voie aérienne Express;Home Office;14/10/2011 00:00;16/10/2011 00:00;49,3396;18;570,13
90581;Non précisé;870;P00141;30,98;0,64;0;6,5;Voie aérienne;Home Office;29/10/2011 00:00;31/10/2011 00:00;-63,5148;4;134,24
90571;Peu urgent;1998;P00142;54,48;0,57;0,02;0,99;Voie aérienne;Entreprise;01/11/2011 00:00;01/11/2011 00:00;1444,8393;37;2093,97
43745;Peu urgent;1999;P00142;54,48;0,57;0,02;0,99;Voie aérienne;Entreprise;01/11/2011 00:00;01/11/2011 00:00;946,7;146;8262,68
87744;Non précisé;477;P00141;30,98;0,64;0;6,5;Voie aérienne;TPE;24/11/2011 00:00;26/11/2011 00:00;-469,443975;21;695,07
2759;Non précisé;478;P00141;30,98;0,64;0;6,5;Voie aérienne;TPE;24/11/2011 00:00;26/11/2011 00:00;45,37;85;2813,4
87514;Non précisé;2949;P00139;10,89;0,59;0;4,5;Voie aérienne Express;Particulier;29/11/2011 00:00;01/12/2011 00:00;26,532;31;367,03
87799;Non précisé;3303;P00138;80,98;0,59;0;4,5;Voie aérienne;Home Office;03/12/2011 00:00;05/12/2011 00:00;971,7948;14;1156,4
90343;Critique;387;P00136;19,98;0,68;0,06;4;Voie aérienne;Entreprise;14/12/2011 00:00;16/12/2011 00:00;17,475;21;412,05
90119;Non précisé;1279;P00141;30,98;0,64;0,05;6,5;Voie aérienne Express;Entreprise;22/12/2011 00:00;24/12/2011 00:00;-38,945;5;154,65
22656;Non précisé;1280;P00141;30,98;0,64;0,05;6,5;Voie aérienne Express;Entreprise;22/12/2011 00:00;24/12/2011 00:00;-77,89;19;587,67
90045;Critique;1006;P00139;10,89;0,59;0,1;4,5;Voie aérienne;TPE;26/01/2011 00:00;27/01/2011 00:00;-58,2552;8;81,1
89280;Moyen;2254;P00143;42,98;0,56;0,08;4,62;Voie aérienne Express;Entreprise;29/01/2011 00:00;31/01/2011 00:00;1223,646;4;172,76
89850;Peu urgent;697;P00141;30,98;0,64;0,04;6,5;Voie aérienne;Entreprise;01/02/2011 00:00;03/02/2011 00:00;43,72;8;253,88
58788;Peu urgent;698;P00141;30,98;0,64;0,04;6,5;Voie aérienne;Entreprise;01/02/2011 00:00;03/02/2011 00:00;43,72;31;983,78
85992;Urgent;1819;P00140;48,58;0,56;0,03;3,99;Voie aérienne;Particulier;17/02/2011 00:00;19/02/2011 00:00;105,1215;3;152,35
54304;Urgent;1821;P00140;48,58;0,56;0,03;3,99;Voie aérienne;Particulier;17/02/2011 00:00;19/02/2011 00:00;118,32;11;558,62
738;Non précisé;607;P00138;80,98;0,59;0,04;4,5;Voie aérienne;Entreprise;01/03/2011 00:00;03/03/2011 00:00;32,6;7;560,51
86437;Non précisé;608;P00138;80,98;0,59;0,04;4,5;Voie aérienne;Entreprise;01/03/2011 00:00;03/03/2011 00:00;32,6;2;160,15
90632;Non précisé;1890;P00140;48,58;0,56;0,03;3,99;Voie aérienne;Entreprise;01/03/2011 00:00;02/03/2011 00:00;168,2151;5;243,79
90132;Moyen;1090;P00144;59,98;0,57;0,09;3,99;Voie aérienne;Entreprise;07/03/2011 00:00;10/03/2011 00:00;447,4167;11;648,43
89506;Critique;2347;P00144;59,98;0,57;0,07;3,99;Voie aérienne;Entreprise;21/03/2011 00:00;22/03/2011 00:00;-134,708;3;177,39
89467;Non précisé;2177;P00144;59,98;0,57;0,08;3,99;Voie aérienne;TPE;15/04/2011 00:00;15/04/2011 00:00;514,7745;13;746,05
91018;Peu urgent;2539;P00144;59,98;0,57;0,02;3,99;Voie aérienne;Entreprise;30/04/2011 00:00;02/05/2011 00:00;715,914;1;61,72
56710;Non précisé;1682;P00141;30,98;0,64;0,08;6,5;Voie aérienne;Particulier;11/05/2011 00:00;13/05/2011 00:00;-99,24;9;273,96
87489;Critique;1551;P00135;27,48;0,75;0,07;4;Voie aérienne;Particulier;26/05/2011 00:00;28/05/2011 00:00;177,9948;3;78,38
45413;Urgent;1193;P00145;4,38;0,37;0,03;6,21;Voie aérienne;TPE;08/06/2011 00:00;09/06/2011 00:00;-73,5655;27;128,61
87593;Urgent;1194;P00145;4,38;0,37;0,03;6,21;Voie aérienne;TPE;08/06/2011 00:00;09/06/2011 00:00;-27,37;7;33,34
90324;Moyen;2450;P00146;13,9;0,56;0;7,59;Voie aérienne Express;Home Office;09/06/2011 00:00;09/06/2011 00:00;-28,624;6;89,43
88243;Non précisé;3076;P00147;5,68;0,39;0,03;1,46;Voie aérienne;TPE;10/06/2011 00:00;11/06/2011 00:00;15,972;4;23,67
22468;Non précisé;3079;P00147;5,68;0,39;0,03;1,46;Voie aérienne;TPE;10/06/2011 00:00;11/06/2011 00:00;13,31;17;100,61
90134;Critique;1089;P00148;6,84;0,58;0,02;8,37;Voie aérienne;Entreprise;14/06/2011 00:00;15/06/2011 00:00;-25,984;2;17,16
33478;Urgent;2434;P00149;5,88;0,36;0,04;3,04;Voie aérienne Express;Particulier;14/06/2011 00:00;16/06/2011 00:00;5,85;32;191,85
91521;Urgent;2435;P00149;5,88;0,36;0,04;3,04;Voie aérienne Express;Particulier;14/06/2011 00:00;16/06/2011 00:00;7,02;8;47,96
86005;Moyen;2138;P00150;4,13;0,38;0,03;5,34;Voie aérienne;Entreprise;19/06/2011 00:00;20/06/2011 00:00;-57,2332;8;34,72
11779;Non précisé;102;P00151;6,88;0,39;0,04;2;Voie aérienne;Particulier;29/06/2011 00:00;01/07/2011 00:00;86,6;68;470,11
88208;Non précisé;108;P00151;6,88;0,39;0,04;2;Voie aérienne;Particulier;29/06/2011 00:00;01/07/2011 00:00;81,0957;17;117,53
91230;Urgent;1285;P00152;21,38;0,36;0;2,99;Voie aérienne;Entreprise;30/06/2011 00:00;01/07/2011 00:00;188,3976;12;273,04
90650;Critique;174;P00153;5,74;0,55;0;5,3;Voie aérienne Express;Entreprise;17/07/2011 00:00;18/07/2011 00:00;-71,96;9;57,34
88523;Non précisé;3;P00154;5,68;0,56;0,01;3,6;Voie aérienne;Entreprise;27/07/2011 00:00;28/07/2011 00:00;-30,51;7;41,64
88635;Peu urgent;1020;P00155;3,81;0,36;0,06;5,44;Voie aérienne;Particulier;04/08/2011 00:00;08/08/2011 00:00;-80,50276;18;66,85
87307;Moyen;96;P00156;6,98;0,38;0,1;1,6;Voie aérienne;Home Office;21/08/2011 00:00;22/08/2011 00:00;64,8393;14;93,97
90990;Urgent;3325;P00157;10,23;0,59;0,08;4,68;Voie aérienne;Particulier;31/08/2011 00:00;31/08/2011 00:00;-26,052;17;168,55
86293;Moyen;2900;P00158;12,98;0,6;0,08;3,14;Voie aérienne;Home Office;08/09/2011 00:00;08/09/2011 00:00;-140,854;5;64,12
31040;Non précisé;607;P00159;29,74;0,7;0,1;6,64;Voie aérienne;Entreprise;14/09/2011 00:00;16/09/2011 00:00;-35,47;35;1005,26
86771;Urgent;1120;P00160;14,56;0,58;0,02;3,5;Voie aérienne;Home Office;26/09/2011 00:00;28/09/2011 00:00;-34,818;23;342,92
86236;Peu urgent;3272;P00161;4,91;0,36;0,04;5,68;Voie aérienne;Home Office;04/10/2011 00:00;11/10/2011 00:00;-554,631;14;73,09
31492;Critique;2498;P00159;29,74;0,7;0,09;6,64;Voie aérienne Express;TPE;15/10/2011 00:00;18/10/2011 00:00;-25,32;61;1743,79
88322;Critique;2500;P00159;29,74;0,7;0,09;6,64;Voie aérienne Express;TPE;15/10/2011 00:00;18/10/2011 00:00;-22,788;15;428,8
87036;Non précisé;2518;P00161;4,91;0,36;0,09;5,68;Voie aérienne Express;Home Office;16/10/2011 00:00;18/10/2011 00:00;-159,68394;21;103,34
86983;Peu urgent;2784;P00160;14,56;0,58;0,06;3,5;Voie aérienne;Entreprise;23/10/2011 00:00;28/10/2011 00:00;23,6164;9;133,46
89989;Peu urgent;3100;P00162;14,45;0,38;0,08;7,17;Voie aérienne;Particulier;23/10/2011 00:00;25/10/2011 00:00;-84,238;15;210,65
89746;Critique;2816;P00163;2,78;0,39;0,03;1,49;Voie aérienne;Entreprise;24/10/2011 00:00;26/10/2011 00:00;-0,26082;7;20,51
86230;Urgent;2803;P00151;6,88;0,39;0,07;2;Voie aérienne;TPE;30/10/2011 00:00;30/10/2011 00:00;68,1444;20;132,7
87120;Moyen;2034;P00161;4,91;0,36;0,04;5,68;Voie aérienne;Particulier;31/10/2011 00:00;02/11/2011 00:00;3130,3602;18;93,34
91525;Non précisé;324;P00157;10,23;0,59;0,01;4,68;Voie aérienne;Entreprise;01/11/2011 00:00;02/11/2011 00:00;2,042;39;426,6
90571;Peu urgent;2001;P00164;3,55;0,38;0,04;1,43;Voie aérienne;Entreprise;01/11/2011 00:00;05/11/2011 00:00;-49,7168;1;4,97
88932;Critique;380;P00149;5,88;0,36;0,05;3,04;Voie aérienne;Entreprise;07/11/2011 00:00;08/11/2011 00:00;9,702;19;111,94
87956;Urgent;637;P00165;20,98;0,66;0,01;5,42;Voie aérienne;Particulier;19/11/2011 00:00;21/11/2011 00:00;246,884;40;901,89
8001;Urgent;640;P00165;20,98;0,66;0,01;5,42;Voie aérienne;Particulier;19/11/2011 00:00;21/11/2011 00:00;112,22;160;3607,56
90559;Non précisé;2308;P00166;6,84;0,58;0,01;4,42;Voie aérienne;TPE;23/11/2011 00:00;25/11/2011 00:00;3,414;30;206,94
36741;Critique;1318;P00147;5,68;0,39;0,08;1,46;Voie aérienne;Home Office;19/12/2011 00:00;22/12/2011 00:00;34,48;48;261,05
91560;Critique;1319;P00147;5,68;0,39;0,08;1,46;Voie aérienne;Home Office;19/12/2011 00:00;22/12/2011 00:00;45,0294;12;65,26
90625;Non précisé;2694;P00167;7,45;0,4;0;6,28;Voie aérienne;Home Office;13/01/2011 00:00;14/01/2011 00:00;-88,09828;10;80,58
91091;Critique;141;P00157;10,23;0,59;0,07;4,68;Voie aérienne;Entreprise;14/01/2011 00:00;15/01/2011 00:00;-30,8512;2;20,45
87701;Non précisé;418;P00146;13,9;0,56;0,04;7,59;Voie aérienne;TPE;17/01/2011 00:00;18/01/2011 00:00;-101,122;10;140,63
89285;Urgent;636;P00148;6,84;0,58;0,05;8,37;Voie aérienne;Entreprise;18/01/2011 00:00;20/01/2011 00:00;-13,6648;1;15
88419;Critique;2127;P00168;3,29;0,4;0,07;1,35;Voie aérienne;Home Office;02/02/2011 00:00;02/02/2011 00:00;6,14;6;19,05
87105;Non précisé;566;P00159;29,74;0,7;0;6,64;Voie aérienne;Entreprise;06/02/2011 00:00;07/02/2011 00:00;56,26;6;192,53
85899;Urgent;1918;P00169;3,74;0,35;0,05;4,69;Voie aérienne;Home Office;19/02/2011 00:00;20/02/2011 00:00;-71,6772;1;5,29
14023;Non précisé;1129;P00152;21,38;0,36;0,08;2,99;Voie aérienne;Entreprise;20/02/2011 00:00;22/02/2011 00:00;241,077;36;711,1
88107;Non précisé;1131;P00152;21,38;0,36;0,08;2,99;Voie aérienne;Entreprise;20/02/2011 00:00;22/02/2011 00:00;122,6682;9;177,78
87557;Moyen;2794;P00165;20,98;0,66;0,04;5,42;Voie aérienne;Entreprise;22/02/2011 00:00;24/02/2011 00:00;52,53;10;216,9
48263;Moyen;102;P00170;5,68;0,4;0,07;1,21;Voie aérienne;Particulier;09/03/2011 00:00;10/03/2011 00:00;37,5;25;135,91
88207;Moyen;113;P00170;5,68;0,4;0,07;1,21;Voie aérienne;Particulier;09/03/2011 00:00;10/03/2011 00:00;22,5078;6;32,62
90827;Critique;177;P00171;8,34;0,59;0,04;2,64;Voie aérienne Express;TPE;09/03/2011 00:00;10/03/2011 00:00;1,72;4;34,84
86174;Moyen;970;P00157;10,23;0,59;0,07;4,68;Voie aérienne;Home Office;09/03/2011 00:00;10/03/2011 00:00;128,172;6;60,07
85930;Non précisé;2846;P00149;5,88;0,36;0;3,04;Voie aérienne;Entreprise;10/03/2011 00:00;11/03/2011 00:00;-1323,7812;12;76,95
86167;Non précisé;2351;P00165;20,98;0,66;0,1;5,42;Voie aérienne Express;Entreprise;24/03/2011 00:00;25/03/2011 00:00;-27,08;4;81,32
89707;Non précisé;1636;P00145;4,38;0,37;0,08;6,21;Voie aérienne;Home Office;04/04/2011 00:00;05/04/2011 00:00;-127,006;7;30,27
88450;Peu urgent;3063;P00162;14,45;0,38;0,09;7,17;Voie aérienne;Particulier;07/04/2011 00:00;14/04/2011 00:00;7,3525;12;161,13
90204;Non précisé;984;P00158;12,98;0,6;0,04;3,14;Voie aérienne;TPE;08/04/2011 00:00;09/04/2011 00:00;12,82;5;64,34
89698;Moyen;1850;P00172;6,04;0,38;0,01;2,14;Voie aérienne;Particulier;19/04/2011 00:00;20/04/2011 00:00;-145,278;11;71,58
86511;Critique;3225;P00173;3,14;0,4;0,03;1,14;Voie aérienne;TPE;10/05/2011 00:00;10/05/2011 00:00;-30,058;12;38,81
87777;Non précisé;2594;P00168;3,29;0,4;0,03;1,35;Voie aérienne;Entreprise;15/05/2011 00:00;17/05/2011 00:00;-39,802;6;20,77
87759;Moyen;1979;P00174;2,88;0,36;0,01;0,99;Voie aérienne;Entreprise;09/06/2011 00:00;10/06/2011 00:00;4,512;4;11,92
86937;Peu urgent;2021;P00175;2,88;0,36;0,03;0,5;Voie aérienne;Entreprise;09/06/2011 00:00;14/06/2011 00:00;20,7552;10;30,08
90013;Peu urgent;2889;P00176;2,88;0,39;0,08;0,5;Voie aérienne;Entreprise;15/06/2011 00:00;20/06/2011 00:00;26,7513;14;38,77
86005;Moyen;2138;P00177;4,13;0,39;0,1;0,5;Voie aérienne;Entreprise;19/06/2011 00:00;20/06/2011 00:00;43,7253;17;63,37
90642;Moyen;1038;P00178;3,15;0,37;0,08;0,5;Voie aérienne;Entreprise;21/06/2011 00:00;23/06/2011 00:00;-3,9928;14;40,76
88470;Urgent;1923;P00179;2,88;0,36;0,02;5,33;Voie aérienne;TPE;21/06/2011 00:00;22/06/2011 00:00;-30,04;4;13,91
89468;Urgent;2174;P00180;22,38;0,38;0,01;15,1;Voie aérienne;TPE;21/06/2011 00:00;23/06/2011 00:00;-58,7236;13;299,57
87580;Peu urgent;599;P00181;5,98;0,39;0,1;1,49;Voie aérienne;Entreprise;28/06/2011 00:00;28/06/2011 00:00;47,1753;12;68,37
87476;Non précisé;3375;P00182;6,81;0,37;0,09;5,48;Voie aérienne;Home Office;05/07/2011 00:00;07/07/2011 00:00;-54,441;9;61,88
88222;Urgent;2046;P00183;2,61;0,39;0,05;0,5;Voie aérienne;Entreprise;07/07/2011 00:00;08/07/2011 00:00;14,8902;8;21,58
91317;Peu urgent;2787;P00178;3,15;0,37;0,09;0,5;Voie aérienne;Particulier;24/07/2011 00:00;31/07/2011 00:00;-275,884;3;8,74
85951;Peu urgent;2281;P00184;3,69;0,38;0,06;0,5;Voie aérienne Express;Home Office;25/07/2011 00:00;30/07/2011 00:00;5,0784;1;7,36
87336;Peu urgent;1913;P00185;5,84;0,49;0,1;0,83;Voie aérienne;Entreprise;26/07/2011 00:00;02/08/2011 00:00;27,0894;7;39,26
19205;Moyen;2548;P00186;3,26;0,41;0;1,86;Voie aérienne;TPE;26/07/2011 00:00;28/07/2011 00:00;2,36;37;128,87
88660;Moyen;2550;P00186;3,26;0,41;0;1,86;Voie aérienne;TPE;26/07/2011 00:00;28/07/2011 00:00;2,36;9;31,35
88244;Moyen;3077;P00187;3,08;0,37;0,03;0,99;Voie aérienne;Particulier;01/08/2011 00:00;01/08/2011 00:00;28,9938;13;42,02
28321;Moyen;3079;P00187;3,08;0,37;0,03;0,99;Voie aérienne;Particulier;01/08/2011 00:00;01/08/2011 00:00;24,71;50;161,61
91387;Critique;2647;P00188;4,54;0,36;0,01;5,83;Voie aérienne;Entreprise;03/08/2011 00:00;04/08/2011 00:00;-39,83278;10;48,5
91524;Critique;324;P00189;3,58;0,37;0;5,47;Voie aérienne;Entreprise;09/08/2011 00:00;10/08/2011 00:00;-35,09662;9;36,74
87165;Urgent;2779;P00190;3,75;0,37;0,05;0,5;Voie aérienne;Entreprise;14/08/2011 00:00;15/08/2011 00:00;-20,062;13;47,01
86353;Urgent;561;P00191;3,69;0,38;0,09;0,5;Voie aérienne;Home Office;24/08/2011 00:00;26/08/2011 00:00;32,9199;14;47,71
11460;Urgent;563;P00191;3,69;0,38;0,09;0,5;Voie aérienne;Home Office;24/08/2011 00:00;26/08/2011 00:00;37,79;54;184,03
89107;Peu urgent;1770;P00177;4,13;0,39;0,09;0,5;Voie aérienne;Home Office;26/08/2011 00:00;30/08/2011 00:00;50,9013;19;73,77
86595;Critique;2924;P00192;3,08;0,37;0,04;0,99;Voie aérienne;Particulier;28/08/2011 00:00;29/08/2011 00:00;44,4429;21;64,41
87955;Peu urgent;637;P00193;2,88;0,36;0,01;0,5;Voie aérienne;Particulier;31/08/2011 00:00;02/09/2011 00:00;33,603;17;48,7
17542;Peu urgent;640;P00193;2,88;0,36;0,01;0,5;Voie aérienne;Particulier;31/08/2011 00:00;02/09/2011 00:00;43,37;67;191,93
86742;Peu urgent;1450;P00194;1,98;0,4;0,05;4,77;Voie aérienne;Entreprise;01/09/2011 00:00;08/09/2011 00:00;-148,7985;17;36,67
87278;Non précisé;336;P00195;4,13;0,39;0,09;0,99;Voie aérienne;Entreprise;05/09/2011 00:00;05/09/2011 00:00;6,7;5;19,8
88302;Non précisé;2578;P00196;6,3;0,39;0,01;0,5;Voie aérienne;Home Office;09/09/2011 00:00;11/09/2011 00:00;145,896;4;26,95
89498;Non précisé;2825;P00197;8,14;0,45;0;3,12;Voie aérienne;Particulier;12/09/2011 00:00;13/09/2011 00:00;56,75;21;175,78
15303;Critique;1314;P00188;4,54;0,36;0,02;5,83;Voie aérienne;Home Office;13/09/2011 00:00;14/09/2011 00:00;-74,405;38;183
87606;Critique;1315;P00188;4,54;0,36;0,02;5,83;Voie aérienne;Home Office;13/09/2011 00:00;14/09/2011 00:00;-74,405;10;48,16
91272;Moyen;613;P00181;5,98;0,39;0,01;1,49;Voie aérienne;Home Office;17/09/2011 00:00;18/09/2011 00:00;26,894;9;55,05
90411;Peu urgent;2368;P00198;3,85;0,44;0,06;0,7;Voie aérienne;Particulier;18/09/2011 00:00;22/09/2011 00:00;-222,502;5;19,71
89428;Moyen;166;P00199;2,88;0,36;0,1;0,5;Voie aérienne;Particulier;26/09/2011 00:00;27/09/2011 00:00;374,9868;17;46,5
39238;Critique;3289;P00200;40,98;0,36;0,1;2,99;Voie aérienne Express;Entreprise;26/09/2011 00:00;27/09/2011 00:00;112,0555;16;663,96
86205;Critique;3293;P00200;40,98;0,36;0,1;2,99;Voie aérienne Express;Entreprise;26/09/2011 00:00;27/09/2011 00:00;112,0555;4;165,99
34849;Critique;2107;P00177;4,13;0,39;0,1;0,5;Voie aérienne;Home Office;12/10/2011 00:00;14/10/2011 00:00;-3,396;5;19,6
87865;Critique;2111;P00177;4,13;0,39;0,1;0,5;Voie aérienne;Home Office;12/10/2011 00:00;14/10/2011 00:00;805,758;1;3,92
31301;Peu urgent;1106;P00201;3,75;0,37;0,06;0,5;Voie aérienne;Particulier;18/10/2011 00:00;20/10/2011 00:00;35,016;56;198,31
86414;Peu urgent;1108;P00201;3,75;0,37;0,06;0,5;Voie aérienne;Particulier;18/10/2011 00:00;20/10/2011 00:00;34,2102;14;49,58
86939;Urgent;2020;P00177;4,13;0,39;0,07;0,5;Voie aérienne;Home Office;22/10/2011 00:00;25/10/2011 00:00;58,4568;22;84,72
87648;Non précisé;3363;P00202;2,84;0,36;0,01;5,44;Voie aérienne Express;Particulier;28/10/2011 00:00;30/10/2011 00:00;-78,51924;9;33,5
90697;Non précisé;430;P00182;6,81;0,37;0;5,48;Voie aérienne;TPE;05/11/2011 00:00;06/11/2011 00:00;7,4405;26;192,28
88178;Peu urgent;674;P00193;2,88;0,36;0,01;0,5;Voie aérienne;TPE;06/11/2011 00:00;08/11/2011 00:00;67,8063;33;98,27
87743;Non précisé;477;P00183;2,61;0,39;0,04;0,5;Voie aérienne;TPE;18/11/2011 00:00;19/11/2011 00:00;-16,9092;10;26,48
2563;Non précisé;478;P00183;2,61;0,39;0,04;0,5;Voie aérienne;TPE;18/11/2011 00:00;19/11/2011 00:00;8,34;41;108,55
89974;Critique;2223;P00203;2,61;0,39;0,09;0,5;Voie aérienne Express;TPE;18/11/2011 00:00;19/11/2011 00:00;63,5352;31;92,08
88506;Non précisé;688;P00202;2,84;0,36;0,03;5,44;Voie aérienne;TPE;21/11/2011 00:00;22/11/2011 00:00;20,4033;23;73,06
87391;Moyen;297;P00204;8,6;0,38;0,02;6,19;Voie aérienne;Entreprise;29/11/2011 00:00;01/12/2011 00:00;12,0428;41;357,74
86702;Moyen;2249;P00180;22,38;0,38;0,07;15,1;Voie aérienne;Home Office;02/12/2011 00:00;04/12/2011 00:00;-61,39275;23;514,38
87937;Non précisé;3206;P00183;2,61;0,39;0;0,5;Voie aérienne;Particulier;05/12/2011 00:00;06/12/2011 00:00;33,2235;18;48,15
89603;Critique;2260;P00180;22,38;0,38;0,07;15,1;Voie aérienne;Entreprise;06/12/2011 00:00;07/12/2011 00:00;-24,612;18;392,85
86281;Critique;768;P00174;2,88;0,36;0,06;0,99;Voie aérienne;Entreprise;07/12/2011 00:00;09/12/2011 00:00;24,0672;12;34,88
90221;Non précisé;2926;P00197;8,14;0,45;0,07;3,12;Voie aérienne;Particulier;12/12/2011 00:00;13/12/2011 00:00;5,196;11;84,76
90343;Critique;387;P00180;22,38;0,38;0,07;15,1;Voie aérienne Express;Entreprise;14/12/2011 00:00;14/12/2011 00:00;-74,4625;19;410,15
89150;Moyen;2685;P00191;3,69;0,38;0,01;0,5;Voie aérienne;TPE;20/12/2011 00:00;21/12/2011 00:00;1,065;2;7,85
89861;Peu urgent;1782;P00190;3,75;0,37;0,09;0,5;Voie aérienne Express;Home Office;21/12/2011 00:00;26/12/2011 00:00;59,0088;23;85,52
87893;Non précisé;2099;P00205;3,69;0,38;0,09;0,5;Voie aérienne;Home Office;22/12/2011 00:00;23/12/2011 00:00;2899,962;6;21,77
90260;Moyen;756;P00206;3,38;0,48;0,08;0,85;Voie aérienne Express;Home Office;26/12/2011 00:00;26/12/2011 00:00;3,3;2;8,53
86433;Peu urgent;3118;P00189;3,58;0,37;0,01;5,47;Voie aérienne;Entreprise;01/01/2011 00:00;05/01/2011 00:00;-60,34;11;42,37
